ds,y
2018-02-26,4.521800000000001
2018-02-27,4.50258
2018-02-28,4.47966
2018-03-01,4.4816400000000005
2018-03-02,4.49428
2018-03-05,4.505059999999999
2018-03-06,4.48166
2018-03-07,4.48808
2018-03-08,4.50676
2018-03-09,4.50272
2018-03-12,4.5316
2018-03-13,4.53996
2018-03-14,4.5478000000000005
2018-03-15,4.58582
2018-03-16,4.58232
2018-03-19,4.623340000000001
2018-03-20,4.61886
2018-03-21,4.63076
2018-03-22,4.66162
2018-03-23,4.6757599999999995
2018-03-26,4.6981
2018-03-27,4.70468
2018-03-28,4.7113
2018-03-29,4.66634
2018-04-02,4.6504199999999996
2018-04-03,4.65826
2018-04-04,4.72128
2018-04-05,4.64922
2018-04-06,4.7386800000000004
2018-04-09,4.79388
2018-04-10,4.8447000000000005
2018-04-11,4.8339799999999995
2018-04-12,4.815340000000001
2018-04-13,4.86198
2018-04-16,4.90944
2018-04-17,4.87082
2018-04-18,4.8171
2018-04-19,4.83024
2018-04-20,4.78386
2018-04-23,4.80344
2018-04-24,4.84326
2018-04-25,4.88594
2018-04-26,4.879779999999999
2018-04-27,4.77932
2018-04-30,4.7880400000000005
2018-05-02,4.82404
2018-05-03,4.81576
2018-05-04,4.77804
2018-05-07,4.8081000000000005
2018-05-08,4.83616
2018-05-09,4.88124
2018-05-10,4.80002
2018-05-11,4.844939999999999
2018-05-14,4.90738
2018-05-15,4.95964
2018-05-16,4.96128
2018-05-17,4.98004
2018-05-18,5.05322
2018-05-21,4.97586
2018-05-22,4.90662
2018-05-23,4.86986
2018-05-24,4.8777
2018-05-25,4.87538
2018-05-28,4.93532
2018-05-29,4.94844
2018-05-30,4.96734
2018-06-01,4.98986
2018-06-04,4.993
2018-06-05,5.04334
2018-06-06,5.1288
2018-06-07,5.23274
2018-06-08,5.07056
2018-06-11,4.94186
2018-06-12,4.95884
2018-06-13,4.95274
2018-06-14,4.94076
2018-06-15,5.011699999999999
2018-06-18,4.97286
2018-06-19,4.9485399999999995
2018-06-20,4.92814
2018-06-21,5.0219000000000005
2018-06-22,4.99854
2018-06-25,5.01228
2018-06-26,4.99488
2018-06-27,5.04368
2018-06-28,5.0412
2018-06-29,5.08244
2018-07-02,5.12566
2018-07-03,5.13006
2018-07-04,5.1626199999999995
2018-07-05,5.18722
2018-07-06,5.208
2018-07-09,5.133
2018-07-10,5.1017
2018-07-11,5.0918399999999995
2018-07-12,5.101940000000001
2018-07-13,5.1116399999999995
2018-07-16,5.110200000000001
2018-07-17,5.089440000000001
2018-07-18,5.01944
2018-07-19,5.04442
2018-07-20,4.95246
2018-07-23,4.97252
2018-07-24,4.9213000000000005
2018-07-25,4.883100000000001
2018-07-26,4.89386
2018-07-27,4.87532
2018-07-30,4.88178
2018-07-31,4.92974
2018-08-01,4.92092
2018-08-02,4.910159999999999
2018-08-03,4.842779999999999
2018-08-06,4.8153999999999995
2018-08-07,4.80908
2018-08-08,4.831300000000001
2018-08-09,4.897399999999999
2018-08-10,4.91102
2018-08-13,4.9790399999999995
2018-08-14,4.9506
2018-08-15,4.9631
2018-08-16,4.9379800000000005
2018-08-17,5.01558
2018-08-20,5.03308
2018-08-21,5.1267
2018-08-22,5.26262
2018-08-23,5.23226
2018-08-24,5.2523800000000005
2018-08-27,5.24302
2018-08-28,5.3142
2018-08-29,5.364459999999999
2018-08-30,5.43786
2018-08-31,5.36558
2018-09-03,5.31524
2018-09-04,5.34646
2018-09-05,5.37338
2018-09-06,5.366680000000001
2018-09-10,5.34104
2018-09-11,5.41412
2018-09-12,5.37174
2018-09-13,5.45538
2018-09-14,5.47974
2018-09-17,5.48292
2018-09-18,5.44402
2018-09-19,5.4381
2018-09-20,5.4358
2018-09-21,5.33138
2018-09-24,5.33264
2018-09-25,5.43296
2018-09-26,5.34502
2018-09-27,5.25912
2018-09-28,5.22106
2018-10-01,5.25744
2018-10-02,5.12756
2018-10-03,5.01042
2018-10-04,5.08184
2018-10-05,5.0658
2018-10-08,4.9086799999999995
2018-10-09,4.8979
2018-10-10,4.94824
2018-10-11,4.94834
2018-10-15,4.91218
2018-10-16,4.90004
2018-10-17,4.85994
2018-10-18,4.83464
2018-10-19,4.8364199999999995
2018-10-22,4.7873399999999995
2018-10-23,4.81694
2018-10-24,4.78498
2018-10-25,4.7545
2018-10-26,4.71088
2018-10-29,4.66098
2018-10-30,4.71908
2018-10-31,4.74642
2018-11-01,4.786379999999999
2018-11-05,4.82032
2018-11-06,4.90154
2018-11-07,4.9426000000000005
2018-11-08,4.89942
2018-11-09,4.889139999999999
2018-11-12,4.83304
2018-11-13,4.89272
2018-11-14,4.91856
2018-11-16,4.824
2018-11-19,4.81754
2018-11-20,4.8278
2018-11-21,4.84624
2018-11-22,4.90728
2018-11-23,4.88596
2018-11-26,4.9680599999999995
2018-11-27,4.96404
2018-11-28,4.94104
2018-11-29,4.92748
2018-11-30,4.9272
2018-12-03,4.86978
2018-12-04,4.89758
2018-12-05,4.91628
2018-12-06,5.00236
2018-12-07,4.9738999999999995
2018-12-10,4.94496
2018-12-11,4.91418
2018-12-12,4.8677
2018-12-13,4.90612
2018-12-14,4.90746
2018-12-17,4.9374
2018-12-18,4.940939999999999
2018-12-19,4.92144
2018-12-20,4.87154
2018-12-21,4.894679999999999
2018-12-24,4.9172666666666665
2018-12-26,4.97924
2018-12-27,4.972060000000001
2018-12-28,4.91686
2018-12-31,4.9573
2019-01-02,4.874160000000001
2019-01-03,4.7397800000000005
2019-01-04,4.759539999999999
2019-01-07,4.73158
2019-01-08,4.74212
2019-01-09,4.71152
2019-01-10,4.7027600000000005
2019-01-11,4.75742
2019-01-14,4.78978
2019-01-15,4.7596
2019-01-16,4.787699999999999
2019-01-17,4.85284
2019-01-18,4.84544
2019-01-21,4.85328
2019-01-22,4.85874
2019-01-23,4.95462
2019-01-24,4.92974
2019-01-25,4.9321
2019-01-28,4.95834
2019-01-29,4.923299999999999
2019-01-30,4.862
2019-01-31,4.79126
2019-02-01,4.79566
2019-02-04,4.801
2019-02-05,4.7724
2019-02-06,4.79856
2019-02-07,4.8148800000000005
2019-02-08,4.818440000000001
2019-02-11,4.82084
2019-02-12,4.8026
2019-02-13,4.81382
2019-02-14,4.83478
2019-02-15,4.76196
2019-02-18,4.82432
2019-02-19,4.834239999999999
2019-02-20,4.84098
2019-02-21,4.91488
2019-02-22,4.87514
2019-02-25,4.874219999999999
2019-02-26,4.9657
2019-02-27,4.97814
2019-02-28,4.9711799999999995
2019-03-01,5.01178
2019-03-06,5.038766666666667
2019-03-07,5.04866
2019-03-08,5.04568
2019-03-11,5.03216
2019-03-12,5.00014
2019-03-13,5.05132
2019-03-14,5.0851
2019-03-15,5.08826
2019-03-18,5.043139999999999
2019-03-19,5.0092799999999995
2019-03-20,4.9958
2019-03-21,4.97838
2019-03-22,5.12174
2019-03-25,5.12264
2019-03-26,5.11206
2019-03-27,5.20344
2019-03-28,5.196199999999999
2019-03-29,5.084919999999999
2019-04-01,5.0799199999999995
2019-04-02,5.04122
2019-04-03,5.0613
2019-04-04,5.06916
2019-04-05,5.02862
2019-04-08,5.0451999999999995
2019-04-09,5.03374
2019-04-10,5.0185
2019-04-11,5.02136
2019-04-12,5.06946
2019-04-15,5.07754
2019-04-16,5.0817
2019-04-17,5.1157200000000005
2019-04-18,5.12168
2019-04-22,5.09354
2019-04-23,5.106820000000001
2019-04-24,5.1333
2019-04-25,5.12534
2019-04-26,5.0872
2019-04-29,5.0857399999999995
2019-04-30,5.14156
2019-05-02,5.1684399999999995
2019-05-03,5.15758
2019-05-06,5.18784
2019-05-07,5.20542
2019-05-08,5.11894
2019-05-09,5.16036
